candidate,refined,capacitance_f,amplitude_peak_v,time_s,input_v,output_v,capacitor_current_a,supply_delivered_current_a,input_delivered_current_a
F75S,False,1e-12,,2.266e-06,0.47000000000000003,0.3786013085194563,2.1992350596545054e-12,7.528026552990847e-05,8.3372467106543e-07
F75S,False,1e-12,,2.268e-06,0.47000000000000003,0.3786013042231417,-6.49554970507422e-12,7.528026664052167e-05,8.337247156710067e-07
F75S,False,1e-12,,2.2700000000000003e-06,0.47000000000000003,0.37860130041079504,2.6832029542897407e-12,7.528026554632638e-05,8.337247444859766e-07
F75S,False,1e-12,,2.272e-06,0.47000000000000003,0.37860129703124074,-6.06275731982955e-12,7.5280266654999e-05,8.337247806554362e-07
F75S,False,1e-12,,2.274e-06,0.47000000000000003,0.3786012940327521,3.064268601965789e-12,7.528026555910776e-05,8.337248024292352e-07
F75S,False,1e-12,,2.276e-06,0.47000000000000003,0.3786012913749058,-5.722114970129507e-12,7.52802666663196e-05,8.337248317426919e-07
F75S,False,1e-12,,2.278e-06,0.47000000000000003,0.3786012890161192,3.363328398202988e-12,7.528026556933269e-05,8.337248479165218e-07
F75S,False,1e-12,,2.28e-06,0.47000000000000003,0.3786012869248957,-5.4545519840952914e-12,7.528026667535019e-05,8.337248717291802e-07
F75S,False,1e-12,,2.2820000000000003e-06,0.47000000000000003,0.378601285068174,3.5978301900151355e-12,7.528026557711149e-05,8.337248836256744e-07
F75S,False,1e-12,,2.284e-06,0.47000000000000003,0.3786012834231011,-5.242903103228113e-12,7.528026668242127e-05,8.337249033839537e-07
F75S,False,1e-12,,2.2860000000000002e-06,0.47000000000000003,0.37860128196328,3.783081949237319e-12,7.528026558352071e-05,8.337249119663435e-07
F75S,False,1e-12,,2.288e-06,0.47000000000000003,0.37860128067003085,-5.0763311123777646e-12,7.528026668782433e-05,8.337249282402426e-07
F75S,False,1e-12,,2.29e-06,0.47000000000000003,0.37860127952167777,3.927978017343488e-12,7.528026558841881e-05,8.337249341499322e-07
F75S,False,1e-12,,2.2920000000000002e-06,0.47000000000000003,0.3786012785041048,-4.9455510154755575e-12,7.528026669232824e-05,8.337249476255398e-07
