candidate,frequency_hz,zout_real_ohm,zout_imag_ohm
R75,3981.0717055349864,6144.239129041763,-0.9707673091745259
R75,4097.32109813543,6144.239119951847,-0.9991142249071431
R75,4216.965034285838,6144.239110323322,-1.028288885390163
R75,4340.102636447455,6144.2391001242695,-1.0583154611946517
R75,4466.835921509648,6144.239089320886,-1.089218828684014
R75,4597.2698853087395,6144.23907787736,-1.1210245906233989
R75,4731.512589614823,6144.2390657557635,-1.1537590973909007
R75,4869.67525165865,6144.239052915918,-1.1874494688081492
R75,5011.872336272742,6144.239039315264,-1.2221236166083251
R75,5158.221650723077,6144.239024908718,-1.2578102675602656
R75,5308.8444423099045,6144.239009648534,-1.2945389872677806
R75,5463.865498818564,6144.238993484126,-1.3323402046639172
R75,5623.413251903514,6144.238976361917,-1.3712452372204393
R75,5787.61988349123,6144.238958225152,-1.4112863168934444
R75,5956.62143529013,6144.238939013719,-1.452496616826567
R75,6130.557921498234,6144.238918663934,-1.4949102788339166
R75,6309.57344480196,6144.23889710835,-1.538562441685524
R75,6493.816315762142,6144.238874275512,-1.5834892702186922
R75,6683.439175686176,6144.238850089744,-1.6297279852994129
R75,6878.599123088107,6144.2388244708845,-1.6773168946586312
R75,7079.457843841412,6144.238797334013,-1.7262954246289004
R75,7286.181745132311,6144.238768589181,-1.7767041528077723
R75,7498.942093324594,6144.238738141111,-1.8285848416749093
R75,7717.915155850161,6144.238705888879,-1.881980473190803
R75,7943.282347242854,6144.238671725582,-1.9369352844057461
R75,8175.23037943654,6144.238635537985,-1.9934948041085832
R75,8413.951416451991,6144.238597206139,-2.051705890545546
R75,8659.643233600696,6144.238556602986,-2.1116167702404502
R75,8912.5093813375,6144.23851359394,-2.173277077948428
R75,9172.759353897844,6144.238468036457,-2.236737897776236
R75,9440.608762859283,6144.238419779523,-2.30205180550324
R75,9716.279515771113,6144.23836866318,-2.3692729121381166
R75,10000.000000000055,6144.238314518012,-2.438456908747375
R75,10292.00527194434,6144.238257164535,-2.509661112592726
R75,10592.537251772948,6144.2381964126525,-2.582944514615716
R75,10901.844923851339,6144.238132061002,-2.6583678283087004
R75,11220.184543019699,6144.238063896279,-2.735993540012838
R75,11547.819846894648,6144.237991692543,-2.8158859606846565
R75,11885.022274370254,6144.237915210462,-2.8981112791740764
R75,12232.071190499388,6144.237834196543,-2.982737617058091
R75,12589.254117941748,6144.237748382248,-3.0698350850753586
R75,12956.866975170273,6144.237657483133,-3.159475841208601
R75,13335.21432163332,6144.237561197911,-3.2517341504628354
R75,13724.609610075704,6144.237459207442,-3.3466864463889263
R75,14125.37544622763,6144.23735117366,-3.44441139440341
R75,14537.843856076708,6144.237236738472,-3.5449899569570773
R75,14962.356560944427,6144.237115522572,-3.64850546060622
R75,15399.265260595015,6144.23698712419,-3.7550436650420704
R75,15848.931924611234,6144.236851117737,-3.8646928341356266
R75,16311.729092278485,6144.236707052404,-3.9775438090566273
R75,16788.040181225708,6144.236554450663,-4.093690083527283
R75,17278.259805078742,6144.236392806709,-4.2132278812730535
R75,17782.79410038934,6144.236221584759,-4.336256235734472
R75,18302.061063110676,6144.236040217281,-4.462877072106149
R75,18836.490894898125,6144.23584810311,-4.593195291770802
R75,19386.5263595222,6144.235644605478,-4.727318859198194
R75,19952.623149688927,6144.23542904987,-4.865358891380847
R75,20535.250264571598,6144.235200721805,-5.007429749880696
R75,21134.89039836661,6144.23495886447,-5.1536491355627065
R75,21752.040340195374,6144.234702676197,-5.3041381860939305
R75,22387.21138568355,6144.234431307851,-5.459021576288675
R75,23040.929760558614,6144.23414385994,-5.618427621382685
R75,23713.737056616716,6144.2338393797045,-5.782488383321996
R75,24406.19068041997,6144.233516857901,-5.9513397801542025
R75,25118.864315095976,6144.233175225532,-6.125121698612758
R75,25852.348395622088,6144.232813350208,-6.303978109987191
R75,26607.250597988284,6144.2324300324735,-6.48805718937545
R75,27384.19634264381,6144.232024001773,-6.677511438416548
R75,28183.829312644742,6144.231593912312,-6.87249781160547
R75,29006.81198693175,6144.231138338509,-7.073177846294165
R75,29853.826189179817,6144.230655770334,-7.279717796486735
R75,30725.573652674695,6144.230144608288,-7.492288770538924
R75,31622.77660168403,6144.229603158074,-7.711066872875885
R75,32546.17834980483,6144.229029625023,-7.936233349845424
