case,relative_time_s,output_v,supply_v,supply_a,capacitor_a,load_a,nmos_drain_a,passive_output_v,passive_supply_a
R75-input_first-slow-8p,4.022312335944613e-08,0.0035031955324454998,0.04022312335944623,5.507555410953919e-06,8.167719308591744e-07,3.503195532445499e-08,4.655751524770286e-06,0.01180353929870204,4.26260189584899e-06
R75-input_first-slow-8p,4.084161958017585e-08,0.003566403317047309,0.04084161958017604,5.590842116893142e-06,8.17385975577674e-07,3.566403317047309e-08,4.73779210814499e-06,0.012125561882368827,4.307069439241355e-06
R75-input_first-slow-8p,4.1469626190530016e-08,0.003630583024578788,0.041469626190529976,5.675409491973815e-06,8.180094622366799e-07,3.630583024578788e-08,4.821094199491343e-06,0.012455778631057606,4.351734400775815e-06
R75-input_first-slow-8p,4.210728942828296e-08,0.0036957495999425188,0.04210728942828278,5.7612772285758335e-06,8.186425360214501e-07,3.6957495999425186e-08,4.9056771965549524e-06,0.012794374303758103,4.396591002725166e-06
R75-input_first-slow-8p,4.275475777985366e-08,0.003761918217843371,0.04275475777985384,5.848465321881595e-06,8.192853443497026e-07,3.761918217843371e-08,4.991560795353453e-06,0.013141536916226137,4.441633316155891e-06
R75-input_first-slow-8p,4.341218201488249e-08,0.003829398938500156,0.04341218201488259,5.936949880185856e-06,8.199227575410824e-07,3.829398938500156e-08,5.0787331332597655e-06,0.013497457765300726,4.486855262466791e-06
R75-input_first-slow-8p,4.407971522133931e-08,0.0038979498666372346,0.04407971522133937,6.026790146309675e-06,8.205682824848683e-07,3.897949866637235e-08,5.167242365158427e-06,0.013862331452212016,4.532250615159281e-06
R75-input_first-slow-8p,4.475751284117138e-08,0.003967554877263178,0.044757512841171486,6.118011853267187e-06,8.212237334290434e-07,3.967554877263178e-08,5.257112571065504e-06,0.0142363559048414,4.5778130018451225e-06
R75-input_first-slow-8p,4.54457327064998e-08,0.004038230178617932,0.0454457327064999,6.210636242967577e-06,8.218892630020763e-07,4.0382301786179325e-08,5.348364678179313e-06,0.01461973239889635,4.623535906499529e-06
R75-input_first-slow-8p,4.614453507637251e-08,0.004109992228169627,0.04614453507637245,6.30468488394911e-06,8.225650261793477e-07,4.109992228169628e-08,5.441019935488057e-06,0.015012665577962714,4.669412671966099e-06
R75-input_first-slow-8p,4.6854082674082064e-08,0.004182857736446884,0.04685408267408195,6.400179676401603e-06,8.232511803192385e-07,4.182857736446885e-08,5.535099918717886e-06,0.015415363472398708,4.715436502720226e-06
R75-input_first-slow-8p,4.7574540725057264e-08,0.004256984148391813,0.04757454072505739,6.497121787306182e-06,8.239466176425752e-07,4.256984148391813e-08,5.630605328179678e-06,0.01582803751703629,4.761600467897321e-06
R75-input_first-slow-8p,4.830607699533773e-08,0.004332579268488013,0.048306076995337864,6.595505211369132e-06,8.246497807766507e-07,4.332579268488013e-08,5.727529637907594e-06,0.016250902567657228,4.807897504592245e-06
R75-input_first-slow-8p,4.904886183064025e-08,0.00440933678703018,0.049048861830640285,6.695401441273178e-06,8.253637561924354e-07,4.409336787030181e-08,5.825944317210435e-06,0.01668417691621239,4.854320421436282e-06
R75-input_first-slow-8p,4.980306819602498e-08,0.0044872745777930646,0.04980306819602506,6.796833738879116e-06,8.26088710146421e-07,4.4872745777930645e-08,5.9258722829547615e-06,0.017128082304754412,4.9008619024567846e-06
R75-input_first-slow-8p,5.0568871716172355e-08,0.004566410789389851,0.05056887171617253,6.899825723736794e-06,8.268248114515641e-07,4.5664107893898515e-08,6.02733680439133e-06,0.01758284393805699,4.947514511225429e-06
R75-input_first-slow-8p,5.1346450716279356e-08,0.004646763849498306,0.051346450716279406,7.004401378585226e-06,8.275722315165964e-07,4.646763849498306e-08,6.130361508573647e-06,0.018048690494895443,4.994270695300235e-06
R75-input_first-slow-8p,5.213598626358413e-08,0.004728352469151895,0.052135986263584136,7.1105850549372855e-06,8.283311443859391e-07,4.728352469151896e-08,6.23497038585983e-06,0.01852585413796523,5.041122790966232e-06
R75-input_first-slow-8p,5.293766220952917e-08,0.0048111956470967415,0.052937662209529245,7.218401478750072e-06,8.291017267802306e-07,4.811195647096742e-08,6.341187795498879e-06,0.01901457052241866,5.088063028278895e-06
R75-input_first-slow-8p,5.375166523257316e-08,0.004895538375262284,0.05375166523257334,7.327841903691802e-06,8.298872445925079e-07,4.8955383752622844e-08,6.448999275346677e-06,0.019515078803002565,5.135083536414878e-06
R75-input_first-slow-8p,5.457818488166123e-08,0.004981758395356985,0.05457818488166127,7.438878103071005e-06,8.306927777678101e-07,4.981758395356985e-08,6.5583677413496285e-06,0.02002762163978269,5.182176349333437e-06
R75-input_first-slow-8p,5.5417413620363154e-08,0.00506930418908949,0.05541741362036299,7.551621665378414e-06,8.315106973314129e-07,5.06930418908949e-08,6.6694179261561065e-06,0.020552445202442995,5.229333411751886e-06
R75-input_first-slow-8p,5.626954687169023e-08,0.005158196142394973,0.056269546871690126,7.666098844107825e-06,8.323411937442684e-07,5.1581961423949733e-08,6.782175688939604e-06,0.02108979917315312,5.276546585437472e-06
R75-input_first-slow-8p,5.713478306360175e-08,0.005248454954675625,0.05713478306360192,7.782336296443334e-06,8.331844603959761e-07,5.248454954675625e-08,6.896667286500598e-06,0.021639936747999976,5.3238076558180095e-06
