candidate,frequency_hz,gain_real,gain_imag
A37,13335214.321633492,-0.09770070121433008,0.7733293017844882
A37,13724609.61007588,-0.09212311599369413,0.7520981624386934
A37,14125375.446227811,-0.08684785396989039,0.7314118454704989
A37,14537843.856076894,-0.08185903320734045,0.711259495221052
A37,14962356.560944619,-0.07714155181266517,0.691630203945315
A37,15399265.260595214,-0.07268105552771571,0.6725130403978895
A37,15848931.924611438,-0.06846390600060862,0.6538970757124615
A37,16311729.092278697,-0.06447714980611667,0.6357714067551863
A37,16788040.181225926,-0.0607084882750841,0.6181251771448427
A37,17278259.80507897,-0.057146248177959574,0.6009475961042693
A37,17782794.100389574,-0.05377935329742019,0.5842279553062879
A37,18302061.063110918,-0.05059729691547968,0.5679556438699854
A37,18836490.894898374,-0.04759011523144492,0.5521201616488257
A37,19386526.359522454,-0.04474836171992776,0.5367111309457714
A37,19952623.14968919,-0.042063082431743344,0.5217183067828005
A37,20535250.264571868,-0.03952579223485751,0.5071315858425623
A37,21134890.398366887,-0.03712845198783825,0.4929410141923436
A37,21752040.34019566,-0.03486344663435265,0.4791367938944914
A37,22387211.385683842,-0.03272356420358661,0.46570928859659744
A37,23040929.760558918,-0.03070197569910324,0.45264902819409725
A37,23713737.05661703,-0.028792215855809204,0.4399467126442649
A37,24406190.680420294,-0.026988164743289043,0.4275932150108057
A37,25118864.315096308,-0.025284030191974054,0.4155795838079822
A37,25852348.39562243,-0.023674331017791976,0.4038970447125926
A37,26607250.597988635,-0.022153881019718838,0.3925370017007027
A37,27384196.34264417,-0.020717773724544336,0.3814910376686951
A37,28183829.31264511,-0.0193613678524478,0.370750914587541
A37,29006811.98693213,-0.018080273477105745,0.36030857323956245
A37,29853826.189180207,-0.016870338853849448,0.3501561325787274
A37,30725573.652675096,-0.01572763788992668,0.3402858887591717
A37,31622776.601684444,-0.014648458230703026,0.33069031386284414
A37,32546178.34980526,-0.01362928993658643,0.3213620543653983
A37,33496543.915783457,-0.012666814725522911,0.3122939293678733
A37,34474660.65731565,-0.01175789575667702,0.30347892862342085
A37,35481338.92335828,-0.010899567931487098,0.2949102103853991
A37,36517412.72548453,-0.010089028688904603,0.2865810991000357
A37,37583740.4288452,-0.009323629272312381,0.2784850829645218
A37,38681205.463306025,-0.008600866446414182,0.2706158113720902
A37,39810717.05535056,-0.007918374642951928,0.2629670922587934
A37,40973210.98135501,-0.007273918515059178,0.2555328893716946
A37,42169650.34285911,-0.006665385880603572,0.24830731947032675
A37,43401026.3644753,-0.006090781035750075,0.24128464947624712
A37,44668359.21509726,-0.00554821842065854,0.2344592935824712
A37,45972698.8530882,-0.005035916619956664,0.22782581033305244
A37,47315125.89614906,-0.004552192681380731,0.22137889968338975
A37,48696752.516587354,-0.004095456736654705,0.21511340004977708
A37,50118723.362728305,-0.0036642069093691127,0.20902428535558293
A37,51582216.507231675,-0.003257024495320629,0.20310666208226902
A37,53088444.42309998,-0.0028725694013884886,0.19735576633040636
A37,54638654.988186605,-0.0025095758296871254,0.19176696089670878
A37,56234132.51903613,-0.0021668481943479994,0.18633573237301662
